cohort,fee_bps,compare,cagr_left,cagr_right,cagr_delta,sharpe_left,sharpe_right,sharpe_delta,n_obs
full_common_12,20,daily_minus_buyhold,0.31762935570025164,0.2756428963392563,0.04198645936099532,0.7438199612395543,0.7096418028570166,0.03417815838253768,2172
full_common_12,20,weekly_minus_buyhold,0.35560647128552025,0.2756428963392563,0.07996357494626394,0.7810907509437477,0.7096418028570166,0.07144894808673108,2172
full_common_12,20,monthly_minus_buyhold,0.38805488162384605,0.2756428963392563,0.11241198528458973,0.8103419494610455,0.7096418028570166,0.10070014660402893,2172
full_common_12,20,daily_minus_monthly,0.31762935570025164,0.38805488162384605,-0.07042552592359441,0.7438199612395543,0.8103419494610455,-0.06652198822149125,2172
full_common_12,50,daily_minus_buyhold,0.29217525817885703,0.2749581555247005,0.017217102654156546,0.7178520229648054,0.7090288689692207,0.008823153995584754,2172
full_common_12,50,weekly_minus_buyhold,0.3441477272550415,0.2749581555247005,0.06918957173034102,0.7699031897625894,0.7090288689692207,0.06087432079336874,2172
full_common_12,50,monthly_minus_buyhold,0.3812761409171648,0.2749581555247005,0.10631798539246429,0.8039605652591588,0.7090288689692207,0.09493169628993814,2172
full_common_12,50,daily_minus_monthly,0.29217525817885703,0.3812761409171648,-0.08910088273830774,0.7178520229648054,0.8039605652591588,-0.08610854229435339,2172
start_2018_no_dot,0,daily_minus_buyhold,0.2001574249804261,0.1387231944912255,0.0614342304892006,0.6322576554430291,0.5980267794380141,0.034230876005015065,3134
start_2018_no_dot,0,weekly_minus_buyhold,0.22540664904010388,0.1387231944912255,0.08668345454887838,0.6590823274388942,0.5980267794380141,0.06105554800088009,3134
start_2018_no_dot,0,monthly_minus_buyhold,0.23717733813574204,0.1387231944912255,0.09845414364451655,0.6712779915822111,0.5980267794380141,0.07325121214419705,3134
start_2018_no_dot,0,daily_minus_monthly,0.2001574249804261,0.23717733813574204,-0.03701991315531594,0.6322576554430291,0.6712779915822111,-0.03902033613918199,3134
start_2018_no_dot,5,daily_minus_buyhold,0.1961290710876722,0.13866363662193137,0.05746543446574082,0.6280364742265193,0.59796611763041,0.03007035659610935,3134
start_2018_no_dot,5,weekly_minus_buyhold,0.22361973372228605,0.13866363662193137,0.08495609710035468,0.6572667846305352,0.59796611763041,0.05930066700012526,3134
start_2018_no_dot,5,monthly_minus_buyhold,0.2361889438735607,0.13866363662193137,0.09752530725162933,0.6702903581562939,0.59796611763041,0.07232424052588393,3134
start_2018_no_dot,5,daily_minus_monthly,0.1961290710876722,0.2361889438735607,-0.04005987278588852,0.6280364742265193,0.6702903581562939,-0.04225388392977458,3134
start_2018_no_dot,10,daily_minus_buyhold,0.19211414879469424,0.1386040551105776,0.05351009368411663,0.6238150229556007,0.5979054327688608,0.025909590186739884,3134
start_2018_no_dot,10,weekly_minus_buyhold,0.2218353173596106,0.1386040551105776,0.08323126224903299,0.6554511508092502,0.5979054327688608,0.05754571804038944,3134
start_2018_no_dot,10,monthly_minus_buyhold,0.2352012255591589,0.1386040551105776,0.0965971704485813,0.6693025893943225,0.5979054327688608,0.07139715662546176,3134
start_2018_no_dot,10,daily_minus_monthly,0.19211414879469424,0.2352012255591589,-0.04308707676446466,0.6238150229556007,0.6693025893943225,-0.04548756643872187,3134
start_2018_no_dot,20,daily_minus_buyhold,0.18412442110803973,0.13848482108159965,0.045639600026440075,0.6153713141530108,0.5977839939063343,0.01758732024667653,3134
start_2018_no_dot,20,weekly_minus_buyhold,0.21827396801685905,0.13848482108159965,0.0797891469352594,0.6518196130198529,0.5977839939063343,0.05403561911351862,3134
start_2018_no_dot,20,monthly_minus_buyhold,0.2332278151462317,0.13848482108159965,0.09474299406463205,0.6673266475650947,0.5977839939063343,0.06954265365876044,3134
start_2018_no_dot,20,daily_minus_monthly,0.18412442110803973,0.2332278151462317,-0.04910339403819197,0.6153713141530108,0.6673266475650947,-0.051955333412083915,3134
start_2018_no_dot,50,daily_minus_buyhold,0.16047299732014442,0.1381265494982078,0.02234644782193662,0.5900338079654934,0.5974191246080992,-0.007385316642605777,3134
start_2018_no_dot,50,weekly_minus_buyhold,0.20764954514822564,0.1381265494982078,0.06952299565001785,0.6409228905519314,0.5974191246080992,0.04350376594383221,3134
start_2018_no_dot,50,monthly_minus_buyhold,0.22732376437763668,0.1381265494982078,0.08919721487942889,0.6613956183273715,0.5974191246080992,0.06397649371927228,3134
start_2018_no_dot,50,daily_minus_monthly,0.16047299732014442,0.22732376437763668,-0.06685076705749227,0.5900338079654934,0.6613956183273715,-0.07136181036187805,3134
start_2020_no_dot,0,daily_minus_buyhold,0.5277653463487006,0.4063599747166544,0.12140537163204623,0.9418007188381404,0.8292444125429473,0.11255630629519309,2404
start_2020_no_dot,0,weekly_minus_buyhold,0.5572437054746326,0.4063599747166544,0.15088373075797823,0.9646130168505196,0.8292444125429473,0.13536860430757225,2404
start_2020_no_dot,0,monthly_minus_buyhold,0.5934500237094531,0.4063599747166544,0.18709004899279869,0.9897705124613523,0.8292444125429473,0.16052609991840494,2404
