Date,full_common_12_buyhold_fee0,full_common_12_daily_fee0,full_common_12_weekly_fee0,full_common_12_monthly_fee0,start_2018_no_dot_buyhold_fee0,start_2018_no_dot_daily_fee0,start_2018_no_dot_weekly_fee0,start_2018_no_dot_monthly_fee0,start_2020_no_dot_buyhold_fee0,start_2020_no_dot_daily_fee0,start_2020_no_dot_weekly_fee0,start_2020_no_dot_monthly_fee0,exclude_dot_same_window_buyhold_fee0,exclude_dot_same_window_daily_fee0,exclude_dot_same_window_weekly_fee0,exclude_dot_same_window_monthly_fee0
2023-05-13,3.4459811983389503,3.7705982135642557,4.163930733425109,4.475040960257018,2.2123931436167843,2.69067957812097,3.121099907306183,3.197597911473736,7.558265798827419,9.156961231090735,10.074544581178493,11.062090561079945,3.591485559810328,3.7292545703604767,4.042656500237213,4.405092037439723
2023-05-14,3.462206492602942,3.8018149457039003,4.198499219630948,4.511737897321184,2.2235874326804406,2.714866274222629,3.149210093586453,3.2260026947372826,7.599404382778609,9.239273759238635,10.165280966836278,11.160356913988707,3.6091073468648065,3.762777085531912,4.079066685961416,4.444223187773062
2023-05-15,3.4759926828254626,3.8300082785558867,4.229634266356886,4.54575980271895,2.242569563190194,2.7384021982438544,3.176511463894554,3.254259809850625,7.630069545149035,9.319371570049228,10.253406589361967,11.258112408904761,3.6252164973210483,3.795397637208714,4.1144292393622415,4.483150906714883
2023-05-16,3.500759932039837,3.8550223897100953,4.257639017358201,4.575628298382042,2.2540413231488587,2.7588951552781955,3.200549385155817,3.2785943454628645,7.6794296886723785,9.389113509817811,10.330998180973166,11.342297739317475,3.6528934065170566,3.823800667544228,4.145564756175258,4.516674780581458
2023-05-17,3.577101334373652,3.9192897934782494,4.32922710806391,4.651777547129441,2.2948324376507796,2.80364589674267,3.2529997532016366,3.3317641726473557,7.828587203721533,9.541409906603535,10.500301819712787,11.526238766211858,3.732582284157886,3.8858247407525126,4.213501966651572,4.589922883953686
2023-05-18,3.5242513604084027,3.8680206364569476,4.27197732316295,4.589779666106723,2.244299437997635,2.767047080570429,3.210027389304774,3.2873742727586865,7.714003970741268,9.416856264647006,10.361592067159167,11.372671899407328,3.6771986152949063,3.8350991532132386,4.157841298490472,4.528770231257525
2023-05-19,3.529531905381455,3.880296354169212,4.286153736136785,4.604999919477724,2.2434636259698806,2.775281079623339,3.2200993714471395,3.297702235223447,7.718716257326028,9.444878334133627,10.394103244669559,11.408401487447982,3.6820633038331256,3.8465113922810557,4.170887200668352,4.54299829447124
2023-05-20,3.5438558226976453,3.900617109046033,4.308695660004056,4.630209361488294,2.2515384691852813,2.789048226005295,3.236168476629803,3.3149612964078288,7.744532615332455,9.491730893876307,10.445972432247766,11.468109212780107,3.69629626217841,3.8655925173556307,4.19170097608375,4.566774815191434
2023-05-21,3.4912948203185867,3.8564931253401085,4.2604484600728805,4.5806860907408105,2.2231548431576362,2.761234892791732,3.2042305417372683,3.2838914498159095,7.641045401899775,9.397076139733539,10.34288052283711,11.360623072798152,3.6433782216465813,3.82704351997703,4.1503328353859095,4.523972205977989
2023-05-22,3.533930139355782,3.8951266418087993,4.303128713971095,4.627428651885874,2.253275103902342,2.789546162166392,3.237083898125909,3.3181732959532493,7.741598164166918,9.493425477712968,10.448927305512637,11.479221125796467,3.6886613953715024,3.8662826518181723,4.192886690982855,4.57119974728531
2023-05-23,3.549300532849577,3.9232220633087294,4.33408525129177,4.6606718466917485,2.2576894933398006,2.8072901962732404,3.257615281538989,3.339375615814363,7.779869847398842,9.5538122416074,10.515200204058479,11.552570555243813,3.7026670008646265,3.8908757028925804,4.219480306400116,4.600408601237931
