variant,window,fee_bps_per_fill,n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,hit_rate,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof
placebo_02-04_fee_1bps,02-04,1,699,0.10700492779715853,0.05451745515912543,0.446827077107286,0.3426438324229086,-0.5546723410520563,0.000419459019535252,0.5164520743919886,365.0,0.0,1e-12,0
placebo_02-04_fee_5bps,02-04,5,699,-0.3673502089880808,-0.21264140156328992,0.446827077107286,-0.31085282201079095,-0.6710990229051095,-0.00038054098046474836,0.4821173104434907,365.0,0.0,1e-12,0
placebo_02-04_fee_10bps,02-04,10,699,-0.685835777199124,-0.4537039666709921,0.446827077107286,-1.127723640052915,-0.8086744445305722,-0.0013805409804647482,0.46065808297567956,365.0,0.0,1e-12,0
placebo_02-04_fee_20bps,02-04,20,699,-0.9226913520378172,-0.7372994309318806,0.446827077107286,-2.7614652761371627,-0.9397732829355661,-0.003380540980464748,0.40915593705293274,365.0,0.0,1e-12,0
placebo_04-06_fee_0bps,04-06,0,699,0.08431227793232798,0.04317391700165607,0.438654105853933,0.3152467031703124,-0.5787902736231139,0.0003788609882262291,0.5107296137339056,365.0,0.0,1e-12,0
placebo_04-06_fee_1bps,04-06,1,699,-0.05718821355898063,-0.03028215447724869,0.438654105853933,0.1488285640812232,-0.6007701810930297,0.0001788609882262294,0.5064377682403434,365.0,0.0,1e-12,0
placebo_04-06_fee_5bps,04-06,5,699,-0.4612517302302238,-0.27600335918943686,0.438654105853933,-0.5168439922751351,-0.6903495822063601,-0.0006211390117737712,0.49213161659513593,365.0,0.0,1e-12,0
placebo_04-06_fee_10bps,04-06,10,699,-0.7325066614335298,-0.49770666325029345,0.438654105853933,-1.3489346877205821,-0.8243897038841503,-0.001621139011773771,0.463519313304721,365.0,0.0,1e-12,0
placebo_04-06_fee_20bps,04-06,20,699,-0.9341961354407754,-0.7584978651877992,0.438654105853933,-3.013116078611477,-0.9466341675601849,-0.003621139011773771,0.413447782546495,365.0,0.0,1e-12,0
placebo_06-08_fee_0bps,06-08,0,699,-0.017347795865808813,-0.00909644583487701,0.43774505241251555,0.1995081258671459,-0.5591799805929883,0.00023927039729982615,0.5207439198855508,365.0,0.0,1e-12,0
placebo_06-08_fee_1bps,06-08,1,699,-0.14559912704802114,-0.07888157121050121,0.43774505241251555,0.03274439068000962,-0.5858918769133411,3.927039729982657e-05,0.5150214592274678,365.0,0.0,1e-12,0
placebo_06-08_fee_5bps,06-08,5,699,-0.5118116355800579,-0.31231700858496647,0.43774505241251555,-0.634310550068538,-0.7255897645938273,-0.0007607296027001746,0.48354792560801146,365.0,0.0,1e-12,0
placebo_06-08_fee_10bps,06-08,10,699,-0.7576346706265338,-0.5229255413038498,0.43774505241251555,-1.468129226004221,-0.8436815687570693,-0.0017607296027001744,0.45064377682403434,365.0,0.0,1e-12,0
placebo_06-08_fee_20bps,06-08,20,699,-0.9403897944936224,-0.7706474285680719,0.43774505241251555,-3.1357665778755868,-0.9534249138391893,-0.003760729602700174,0.40915593705293274,365.0,0.0,1e-12,0
placebo_08-10_fee_0bps,08-10,0,699,0.21711383446327792,0.10804597147959383,0.4425889152430028,0.45434818606242944,-0.5377845476653633,0.0005509300570191689,0.5278969957081545,365.0,0.0,1e-12,0
placebo_08-10_fee_1bps,08-10,1,699,0.05830618046319991,0.030033645774782958,0.4425889152430028,0.28940957715054727,-0.5645785937808041,0.0003509300570191695,0.5236051502145923,365.0,0.0,1e-12,0
placebo_08-10_fee_5bps,08-10,5,699,-0.39520209786045346,-0.23093606197872496,0.4425889152430028,-0.3703448584969836,-0.6701337498878184,-0.00044906994298083114,0.49642346208869814,365.0,0.0,1e-12,0
placebo_08-10_fee_10bps,08-10,10,699,-0.6996794768816366,-0.46640936782567344,0.44258891524300287,-1.1950379030563962,-0.7986871212356789,-0.0014490699429808309,0.46924177396280403,365.0,0.0,1e-12,0
placebo_08-10_fee_20bps,08-10,20,699,-0.9261043262065607,-0.7434206743408573,0.4425889152430028,-2.844423992175222,-0.9383947450120496,-0.003449069942980831,0.4062947067238913,365.0,0.0,1e-12,0
placebo_10-12_fee_0bps,10-12,0,699,0.09729461412732854,0.04967722182532652,0.4388376403582432,0.33114279612413294,-0.5421518423728047,0.00039813129663765837,0.525035765379113,365.0,0.0,1e-12,0
placebo_10-12_fee_1bps,10-12,1,699,-0.04589834338593157,-0.024235877168616637,0.4388376403582432,0.16479425788022375,-0.5697397546539547,0.00019813129663765814,0.5236051502145923,365.0,0.0,1e-12,0
placebo_10-12_fee_5bps,10-12,5,699,-0.45479649992117643,-0.2714864600729967,0.4388376403582432,-0.5005998950954124,-0.7021734178338098,-0.0006018687033623422,0.5035765379113019,365.0,0.0,1e-12,0
placebo_10-12_fee_10bps,10-12,10,699,-0.7292991642232236,-0.4945705785034973,0.43883764035824313,-1.3323425863149574,-0.8303290312245243,-0.001601868703362342,0.48068669527896996,365.0,0.0,1e-12,0
placebo_10-12_fee_20bps,10-12,20,699,-0.9334058938249051,-0.7569877688077002,0.4388376403582432,-2.9958279687540466,-0.9476556000928527,-0.0036018687033623417,0.4334763948497854,365.0,0.0,1e-12,0
placebo_12-14_fee_0bps,12-14,0,699,-0.2408259846547336,-0.13400119614269723,0.45032719081197786,-0.09337641246131198,-0.623202494834816,-0.0001152053082515156,0.51931330472103,365.0,0.0,1e-12,0
placebo_12-14_fee_1bps,12-14,1,699,-0.3399453113576505,-0.19501232910777366,0.45032719081197786,-0.2554807701137439,-0.6609076372860812,-0.0003152053082515152,0.5107296137339056,365.0,0.0,1e-12,0
placebo_12-14_fee_5bps,12-14,5,699,-0.6229382283507319,-0.39908451417259116,0.45032719081197786,-0.9038982007234735,-0.7776351818468958,-0.0011152053082515156,0.4892703862660944,365.0,0.0,1e-12,0
placebo_12-14_fee_10bps,12-14,10,699,-0.8128547066272188,-0.5831782617828449,0.45032719081197786,-1.7144199889856353,-0.8728289119716396,-0.0021152053082515157,0.45779685264663805,365.0,0.0,1e-12,0
placebo_12-14_fee_20bps,12-14,20,699,-0.9539960651714811,-0.7996701849043701,0.45032719081197786,-3.3354635655099583,-0.9607847338552884,-0.004115205308251516,0.4177396280400572,365.0,0.0,1e-12,0
placebo_14-16_fee_0bps,14-16,0,699,0.35961496096568335,0.17399542297457216,0.4698876081333986,0.5774279005783397,-0.5877961299249099,0.000743359493348619,0.5236051502145923,365.0,0.0,1e-12,0
placebo_14-16_fee_1bps,14-16,1,699,0.1822344995146663,0.09134982582058071,0.4698876081333986,0.42207160103686375,-0.6089184517759461,0.0005433594933486192,0.51931330472103,365.0,0.0,1e-12,0
placebo_14-16_fee_5bps,14-16,5,699,-0.32433280203273385,-0.1851253218237966,0.4698876081333986,-0.199353597129041,-0.7079545806252074,-0.0002566405066513815,0.49928469241773965,365.0,0.0,1e-12,0
placebo_14-16_fee_10bps,14-16,10,699,-0.6644591117883372,-0.4345992883778502,0.46988760813339864,-0.9761350948364211,-0.8280609787980822,-0.0012566405066513815,0.47639484978540775,365.0,0.0,1e-12,0
placebo_14-16_fee_20bps,14-16,20,699,-0.9174237085242595,-0.7280998426681511,0.46988760813339864,-2.5296980902511814,-0.9441796766766389,-0.0032566405066513813,0.4363376251788269,365.0,0.0,1e-12,0
placebo_16-18_fee_0bps,16-18,0,699,0.09279885282834122,0.04742932060909033,0.46096305655583647,0.3306750648762217,-0.6121419999485125,0.0004176136674853225,0.530758226037196,365.0,0.0,1e-12,0
placebo_16-18_fee_1bps,16-18,1,699,-0.049811321086338456,-0.026327577408688185,0.46096305655583647,0.1723109639753123,-0.6323885153042373,0.00021761366748532213,0.5264663805436338,365.0,0.0,1e-12,0
placebo_16-18_fee_5bps,16-18,5,699,-0.4570414202878891,-0.273054378677583,0.46096305655583647,-0.46114543962832466,-0.7252854622285138,-0.0005823863325146781,0.5092989985693849,365.0,0.0,1e-12,0
placebo_16-18_fee_10bps,16-18,10,699,-0.7304193522302083,-0.49566379847644526,0.46096305655583647,-1.2529659441328707,-0.843353019821413,-0.0015823863325146782,0.48497854077253216,365.0,0.0,1e-12,0
placebo_16-18_fee_20bps,16-18,20,699,-0.9336842144453109,-0.7575186382567891,0.46096305655583647,-2.836606953141963,-0.951994207214176,-0.0035823863325146785,0.43061516452074394,365.0,0.0,1e-12,0
placebo_18-20_fee_0bps,18-20,0,699,-0.02195254066129515,-0.011523837612071208,0.46908353728366337,0.20957083784910102,-0.5645820919085442,0.00026933213679385576,0.51931330472103,365.0,0.0,1e-12,0
placebo_18-20_fee_1bps,18-20,1,699,-0.14960779508936484,-0.08114078451880746,0.46908353728366337,0.0539482371867048,-0.5941785862672382,6.933213679385632e-05,0.5107296137339056,365.0,0.0,1e-12,0
placebo_18-20_fee_5bps,18-20,5,699,-0.5141133624495828,-0.3140119722864605,0.46908353728366337,-0.5685421654628823,-0.7299417677987954,-0.0007306678632061443,0.49356223175965663,365.0,0.0,1e-12,0
placebo_18-20_fee_10bps,18-20,10,699,-0.7587843867901539,-0.5241086239235582,0.46908353728366337,-1.346655168774866,-0.8461661005606247,-0.0017306678632061448,0.4663805436337625,365.0,0.0,1e-12,0
placebo_18-20_fee_20bps,18-20,20,699,-0.9406760329831336,-0.771223167822684,0.46908353728366337,-2.9028811753988317,-0.9517312984612575,-0.003730667863206144,0.41487839771101576,365.0,0.0,1e-12,0
placebo_20-22_fee_0bps,20-22,0,699,0.3971356557568142,0.19080290658083165,0.45790049784376025,0.6102095842930042,-0.47731216773220864,0.000765521294347399,0.5078683834048641,365.0,0.0,1e-12,0
placebo_20-22_fee_1bps,20-22,1,699,0.2148698203131727,0.10697873836288951,0.45790049784376025,0.45078630272036,-0.5020828136335416,0.0005655212943473997,0.5050071530758226,365.0,0.0,1e-12,0
placebo_20-22_fee_5bps,20-22,5,699,-0.30565891638646536,-0.17344190542848337,0.45790049784376025,-0.18690682357021993,-0.6201458760401244,-0.00023447870565260158,0.4821173104434907,365.0,0.0,1e-12,0
placebo_20-22_fee_10bps,20-22,10,699,-0.6551716929086692,-0.4264807300765746,0.45790049784376025,-0.9840232314334436,-0.7835469147832131,-0.0012344787056526015,0.46208869814020026,365.0,0.0,1e-12,0
placebo_20-22_fee_20bps,20-22,20,699,-0.9151312429694503,-0.7241840340222134,0.45790049784376025,-2.5782560471598908,-0.9315073787725506,-0.003234478705652601,0.413447782546495,365.0,0.0,1e-12,0
