primary_22_00_fee_0bps,primary_22_00_fee_1bps,primary_22_00_fee_5bps,primary_22_00_fee_10bps,primary_22_00_fee_20bps,buyhold_fee_0bps,buyhold_fee_1bps,buyhold_fee_5bps,buyhold_fee_10bps,buyhold_fee_20bps
1.003509006770876,0.9828497916050856,0.9043417250995758,0.8148892812214743,0.661446221912504,1.7113480342310017,1.676620689325404,1.5445536598210463,1.39387314592547,1.1348283216435575
1.0060048578802037,0.985097690730877,0.9056865931798409,0.8152862331644807,0.6604455356493627,1.6922789959368587,1.6576032832906997,1.525798607596729,1.3755538888800078,1.1176439564506229
1.0070479236047791,0.9859220595374403,0.9057199583567929,0.8145009817906603,0.6584885296246822,1.7161543764725404,1.6806579236989618,1.5457994145102378,1.392209671232776,1.1289415694564089
1.0102560789174448,0.9888657297155082,0.9076995929362704,0.815466737822855,0.6579523242082342,1.7147230852565138,1.678920105321755,1.5429644017510193,1.3882641340441417,1.1234842537620957
1.0263325730019408,1.0044040599060255,0.9212363767182588,0.8268125599048303,0.6657906985299434,1.7645288744601302,1.7273501783503493,1.5862383295944669,1.4258110792357928,1.151623002687755
1.0260458776013095,1.0039226091969904,0.9200578024775314,0.8249279732386912,0.662941553982859,1.7934984148228463,1.755363859267976,1.6106945074470014,1.4463680236399776,1.1659235342694645
1.0236909433336197,1.001417666736294,0.9170260694618803,0.8213847797768414,0.6587682341824042,1.7952064232216225,1.7566844780848958,1.6106177310762224,1.4448527121344095,1.1623701880269843
1.015777863292048,0.9934764744809031,0.9090204775170291,0.8133927467509755,0.6510409155831755,1.6942216985651302,1.6575153695764837,1.5184059512750407,1.3606865298567228,1.0923345589921787
1.0162194630329142,0.9937096836107259,0.9085066450248187,0.8121195759986173,0.6487197857513723,1.6489438165008303,1.6128869569027158,1.4763083190951156,1.3216009641547406,1.0587727039924981
1.0292776964686117,1.0062799285788349,0.9192722818893168,0.8209309242240151,0.654460836695176,1.653532247264645,1.6170524767148606,1.4789400576605933,1.3226353129475243,1.0574838052773576
1.032962940689696,1.0096815751958972,0.9216443884802611,0.8222283380975474,0.6541862366000772,1.6444381101670065,1.607835561456216,1.4693272069000698,1.3127157802768337,1.0474378947587397
1.0327714360849936,1.0092924504897582,0.9205518772219836,0.8204314456401058,0.6514482097841083,1.6085966276183592,1.5724702855775459,1.435833040862955,1.281478946779513,1.020418626645346
1.0427037376106192,1.018797092969326,0.9284843963100174,0.8266807820847917,0.6551074818197641,1.6016341642909844,1.5653496932676136,1.4281825143932971,1.273369383839936,1.0119202903451197
1.0458472088597297,1.0216647326978814,0.9303550425773575,0.8275196406757264,0.6544620247058526,1.669613559300534,1.6314759685297557,1.4873717846382564,1.3248692446435395,1.0508223230879759
1.0561095512562788,1.0314854523714616,0.9385537667314386,0.8339846114881462,0.6582660643609707,1.6796105291548793,1.6409182907413336,1.4947901927632292,1.3301522866625752,1.0529109323176895
1.0554798072659233,1.0306640943112257,0.9370555659152874,0.8318193484034593,0.6552404848596365,1.6187307667352135,1.5811127973400259,1.4391147039959808,1.2792788077917903,1.0105351033229077
1.053098629596293,1.0281327684291055,0.9340044994764022,0.828279113258336,0.6511412909350431,1.592688296858601,1.555359310448268,1.4145228191723471,1.256138952470412,0.9902352685923429
1.0547087113861837,1.0294990533768829,0.9344984938309927,0.8278889104136655,0.6495322552551676,1.6103789029974143,1.5723242172065697,1.4288199494856164,1.2675790967108502,0.9972732543990094
1.0576041384756856,1.0321193741288937,0.9361294166946671,0.8285058852044663,0.6487172472675357,1.5820031020339784,1.5443044968146364,1.402214501586196,1.24270846697919,0.9757116339965153
1.0652899458818597,1.0394135551034105,0.9419963151238537,0.8328697809143754,0.6508367280452393,1.5670369840311469,1.529386155502804,1.387547011138539,1.228466738356578,0.9625783280307387
1.0616503141393867,1.0356544490063664,0.9378359277002142,0.8283584880797678,0.6460097555147767,1.5802761965210028,1.5420013953213207,1.3978822440664367,1.2363885849288108,0.9668604194753602
1.0572099632536809,1.0311156948987465,0.9329755943769509,0.8232371629390934,0.6407237816353818,1.5970420333929198,1.5580527579160763,1.4113151019940966,1.2470331915244317,0.9732508201331999
1.0547358851141848,1.0284964593131294,0.92985927337063,0.8196641525993283,0.6366614675129005,1.6386518930877936,1.5983351676210338,1.446674655880735,1.2770297390696488,0.9947152146085844
1.0537896468551726,1.02736806201431,0.9280952067545697,0.8172894766192506,0.6335436516967972,1.6596262362247647,1.6184737995068734,1.463745062716046,1.2908213476716843,1.0034684650196473
1.0523247179682558,1.0257343895616244,0.9258769171696095,0.8145187402110156,0.6301287544531317,1.6616646137528979,1.6201379382427186,1.4640791110224824,1.289825110877078,1.0006870659931428
1.0519478962263134,1.025161942540662,0.9246194975766907,0.8125980357524353,0.62738259975315,1.6630672289284965,1.6211814730620289,1.4638508646796375,1.2883342051946314,0.9975290001356982
1.0578940168939401,1.0307516235938299,0.9289212767666862,0.815566038633268,0.6284193406630911,1.7296367406416018,1.6857501389801581,1.520982262153364,1.3373271771879889,1.0334681289086693
1.0627520523994454,1.0352788661277628,0.9322581254747065,0.8176801293377671,0.6287914755089726,1.6396658620196163,1.59772496893209,1.4403440252220994,1.265088493399299,0.9755761270697404
1.069290570461726,1.0414413012911958,0.9370615293772294,0.8210754968794021,0.6301449113289855,1.6076509790224862,1.5662094472903847,1.4107806065441533,1.2378571495251767,0.9526254564971338
1.0742824599312057,1.0460948906239962,0.9404990576085502,0.8232664650019471,0.6305661080670069,1.5642922773044479,1.523655190939984,1.3713207616152432,1.2019961547043319,0.9231224358618797
1.0750219677754225,1.0466057759073344,0.9402059734129738,0.8221866470947208,0.6284779087904173,1.601865554829185,1.559947661186868,1.4028876687661187,1.228463323980018,0.9416027433476799
1.0712543734175208,1.0427284496932276,0.9359706582912088,0.8176607831281627,0.6237613911674686,1.599390825754997,1.557225701716946,1.3993174538261912,1.2241085389910369,0.936381646193996
1.0733731297995206,1.044582241028278,0.9368858761599643,0.8176426535618203,0.6225000380489402,1.598270081520566,1.5558230587912938,1.3969375899397731,1.2208025499630724,0.9319799670827082
1.0774630626553199,1.0483535539239577,0.9395188582268901,0.8191228771679205,0.6223819841358199,1.5987795107180347,1.556007793903498,1.3959859092582776,1.2187500608645567,0.9285491045216356
1.07831480997379,1.0489726191200566,0.9393220401589573,0.8181321577542148,0.6203844565326758,1.6329589722507123,1.588961659966447,1.4244339677377447,1.2423675736723843,0.9446858682806318
