variant,window,fee_bps_per_fill,n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,mean_return_bps,hit_rate,tstat_mean,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof
placebo_04-06_fee_0bps,04-06,0,696,-0.008204507492678426,-0.004311079410050933,0.09590827385135739,0.0028488861828447148,-0.15317926166259854,7.485801539606003e-07,0.0074858015396060025,0.4985632183908046,0.003931163157212621,365.0,0.0,1e-12,0
placebo_04-06_fee_1bps,04-06,1,696,-0.13709931031299194,-0.07441516038487728,0.09590827385135739,-0.7582950388255272,-0.1983706566159733,-0.00019925141984603932,-1.9925141984603931,0.46839080459770116,-1.0463673617004279,365.0,0.0,1e-12,0
placebo_04-06_fee_5bps,04-06,5,696,-0.5056955201686094,-0.3089284694701958,0.09590827385135739,-3.8028707388590175,-0.5088529659979596,-0.0009992514198460397,-9.992514198460396,0.3864942528735632,-5.247561461130993,365.0,0.0,1e-12,0
placebo_04-06_fee_10bps,04-06,10,696,-0.7538135954376366,-0.5205277436111946,0.09590827385135739,-7.60859036390088,-0.7546524088381203,-0.00199925141984604,-19.9925141984604,0.28735632183908044,-10.499054085419198,365.0,0.0,1e-12,0
placebo_04-06_fee_20bps,04-06,20,696,-0.9390614688326446,-0.7694492026820936,0.09590827385135739,-15.2200296139846,-0.9391077307731015,-0.0039992514198460396,-39.9925141984604,0.15804597701149425,-21.002039333995604,365.0,0.0,1e-12,0
placebo_06-08_fee_0bps,06-08,0,696,-0.08107469879650697,-0.043371724814208146,0.10724941600224074,-0.35974206468629377,-0.1827364278411292,-0.00010570445575080911,-1.0570445575080911,0.5028735632183908,-0.49640619527391,365.0,0.0,1e-12,0
placebo_06-08_fee_1bps,06-08,1,696,-0.2005117769865532,-0.1107329673310613,0.10724941600224074,-1.0403984516495082,-0.26579095395221985,-0.00030570445575080896,-3.05704455750809,0.47701149425287354,-1.4356403869604981,365.0,0.0,1e-12,0
placebo_06-08_fee_5bps,06-08,5,696,-0.5420495662726872,-0.3360664254257687,0.10724941600224074,-3.76302399950237,-0.556377545603645,-0.0011057044557508096,-11.057044557508096,0.382183908045977,-5.192577153706857,365.0,0.0,1e-12,0
placebo_06-08_fee_10bps,06-08,10,696,-0.7719375567624561,-0.5393753605770466,0.10724941600224074,-7.166305934318444,-0.7752660155338462,-0.0021057044557508094,-21.057044557508092,0.28448275862068967,-9.8887481121398,365.0,0.0,1e-12,0
placebo_06-08_fee_20bps,06-08,20,696,-0.9435566172182239,-0.7785303054419268,0.10724941600224076,-13.972869803950594,-0.9440608539317429,-0.00410570445575081,-41.0570445575081,0.16235632183908047,-19.281090029005693,365.0,0.0,1e-12,0
placebo_08-10_fee_0bps,08-10,0,696,0.1161732128460824,0.059330937065157796,0.10399520165686378,0.6063005491339626,-0.10418253477343142,0.0001727461585530238,1.727461585530238,0.507183908045977,0.8366309596030396,365.0,0.0,1e-12,0
placebo_08-10_fee_1bps,08-10,1,696,-0.028863207362918586,-0.015241984630568473,0.10399520165686378,-0.09565491455047044,-0.1250309606069222,-2.7253841446976026e-05,-0.27253841446976024,0.4870689655172414,-0.13199371675552388,365.0,0.0,1e-12,0
placebo_08-10_fee_5bps,08-10,5,696,-0.4436415544527308,-0.2647118658313745,0.10399520165686378,-2.9034767692882064,-0.4484315666029238,-0.0008272538414469766,-8.272538414469766,0.4051724137931034,-4.006492422189783,365.0,0.0,1e-12,0
placebo_08-10_fee_10bps,08-10,10,696,-0.7228754648577818,-0.489818548581341,0.10399520165686378,-6.413254087710374,-0.7238859242841853,-0.0018272538414469766,-18.272538414469764,0.33045977011494254,-8.849615803982605,365.0,0.0,1e-12,0
placebo_08-10_fee_20bps,08-10,20,696,-0.9313872632722275,-0.7546527341536793,0.10399520165686378,-13.432808724554711,-0.9314247436301217,-0.003827253841446977,-38.27253841446977,0.1810344827586207,-18.53586256756825,365.0,0.0,1e-12,0
placebo_10-12_fee_0bps,10-12,0,696,0.008544361398780342,0.0044718132548118295,0.09341871720526011,0.09456787218946625,-0.10856298031873557,2.420386111992036e-05,0.2420386111992036,0.5387931034482759,0.1304937126817767,365.0,0.0,1e-12,0
placebo_10-12_fee_1bps,10-12,1,696,-0.12252413363238657,-0.06624897120273299,0.09341871720526011,-0.6868601133779652,-0.18828860499364053,-0.00017579613888007954,-1.7579613888007954,0.5158045977011494,-0.9477946813495142,365.0,0.0,1e-12,0
placebo_10-12_fee_5bps,10-12,5,696,-0.4973393672469033,-0.30282630929402443,0.09341871720526011,-3.8125720556476943,-0.5005268638769963,-0.0009757961388800801,-9.757961388800801,0.41954022988505746,-5.260948257474682,365.0,0.0,1e-12,0
placebo_10-12_fee_10bps,10-12,10,696,-0.7496475419638345,-0.5162896431956547,0.09341871720526013,-7.719711983484852,-0.7496475419638345,-0.0019757961388800803,-19.757961388800805,0.2988505747126437,-10.65239022763114,365.0,0.0,1e-12,0
placebo_10-12_fee_20bps,10-12,20,696,-0.9380281079240183,-0.7674071352309568,0.09341871720526011,-15.533991839159173,-0.9380281079240183,-0.00397579613888008,-39.7579613888008,0.15086206896551724,-21.435274167944055,365.0,0.0,1e-12,0
placebo_12-14_fee_0bps,12-14,0,695,-0.30726669887847147,-0.17535219134816238,0.14182830461153412,-1.2880308354366201,-0.3311906702266523,-0.0005004910402119281,-5.004910402119282,0.4589928057553957,-1.7760678921728568,365.0,0.0,1e-12,0
placebo_12-14_fee_1bps,12-14,1,695,-0.39721904180767653,-0.2334434291537708,0.14182830461153412,-1.8027376860892168,-0.40111669503261127,-0.0007004910402119279,-7.004910402119279,0.437410071942446,-2.4857980369605817,365.0,0.0,1e-12,0
placebo_12-14_fee_5bps,12-14,5,695,-0.6545283703231708,-0.4277530525355313,0.14182830461153412,-3.8615650886996087,-0.6562141732825539,-0.0015004910402119287,-15.004910402119286,0.37985611510791367,-5.324718616111489,365.0,0.0,1e-12,0
placebo_12-14_fee_10bps,12-14,10,695,-0.827830618692803,-0.603046679289021,0.14182830461153412,-6.435099341962596,-0.8283284224657967,-0.002500491040211929,-25.00491040211929,0.3064748201438849,-8.87336934005012,365.0,0.0,1e-12,0
placebo_12-14_fee_20bps,12-14,20,695,-0.9573290640875337,-0.8092023552666094,0.14182830461153412,-11.58216784848857,-0.9573355607852002,-0.004500491040211929,-45.00491040211929,0.1971223021582734,-15.970670787927379,365.0,0.0,1e-12,0
placebo_14-16_fee_0bps,14-16,0,696,0.22026532042147862,0.11004045002498852,0.20275865025236198,0.6160249129128775,-0.26916385143529453,0.00034220378044943535,3.4220378044943534,0.5186781609195402,0.85004955836813,365.0,0.0,1e-12,0
placebo_14-16_fee_1bps,14-16,1,696,0.061715939467474,0.031904318175839164,0.20275865025236198,0.25599095180127523,-0.30234855906567104,0.00014220378044943566,1.4220378044943567,0.5014367816091954,0.3532405767422046,365.0,0.0,1e-12,0
